Cypress Quarters,27.25,-80.81,
Dade City city,28.36,-82.19,
Dade City North,28.38,-82.19,
Dania Beach city,26.06,-80.16,
Davenport city,28.16,-81.61,
Davie town,26.08,-80.29,
Day,30.19,-83.29,
Daytona Beach city,29.2,-81.09,
Daytona Beach Shores city,29.17,-80.98,
De Funiak Springs city,30.71,-86.12,
De Leon Springs,29.12,-81.35,
DeBary city,28.88,-81.32,
Deerfield Beach city,26.3,-80.13,
DeLand city,29.02,-81.29,
DeLand Southwest,29.01,-81.31,
Delray Beach city,26.46,-80.09,
Deltona city,28.91,-81.21,
Desoto Lakes,27.37,-82.5,
Destin city,30.39,-86.47,
Dickerson City,30.48,-87.07,
Dixonville,30.99,-87.04,
Doctor Phillips,28.45,-81.49,
Doral city,25.81,-80.36,
Dover,27.99,-82.22,
Duck Key,24.77,-80.91,
Dundee town,28.01,-81.6,
Dunedin city,28.04,-82.8,
Dunnellon city,29.05,-82.44,
Eagle Lake city,27.98,-81.76,
East Bronson,29.46,-82.59,
East Lake,28.12,-82.69,
East Lake-Orient Park,28,-82.37,
East Milton,30.62,-86.96,
East Palatka,29.65,-81.6,
East Williston,29.39,-82.42,
Eastpoint,29.75,-84.87,
Eatonville town,28.62,-81.39,
Ebro town,30.44,-85.88,
Edgewater city,28.96,-80.94,
Edgewood city,28.49,-81.38,
Eglin AFB,30.46,-86.55,
Egypt Lake-Leto,28.02,-82.51,
El Portal village,25.86,-80.2,
Elfers,28.21,-82.72,
Ellenton,27.53,-82.53,
Englewood,26.96,-82.35,
Ensley,30.53,-87.27,
Estero,26.42,-81.8,
Esto town,30.98,-85.64,
Eustis city,28.86,-81.68,
Everglades city,25.86,-81.39,
Fairview Shores,28.6,-81.39,
Fanning Springs city,29.59,-82.93,
Feather Sound,27.91,-82.68,
Fellsmere city,27.74,-80.62,
Fern Park,28.65,-81.35,
Fernandina Beach city,30.66,-81.45,
Ferndale,28.62,-81.7,
Ferry Pass,30.52,-87.19,
Fidelis,30.93,-87.02,
Fish Hawk,27.85,-82.22,
Fisher Island,25.76,-80.14,
Five Points,30.22,-82.65,
Flagler Beach city,29.47,-81.13,
Flagler Estates,29.64,-81.46,
Fleming Island,30.1,-81.71,
Floral City,28.71,-82.31,
Florida City city,25.44,-80.47,
Florida Ridge,27.58,-80.38,
Floridatown,30.58,-87.16,
Forest City,28.66,-81.44,
Fort Denaud,26.74,-81.52,
Fort Green,27.63,-81.94,
Fort Green Springs,27.59,-81.94,
Fort Lauderdale city,26.14,-80.14,
Fort Meade city,27.75,-81.8,
Fort Myers Beach town,26.43,-81.92,
Fort Myers city,26.62,-81.83,
Fort Myers Shores,26.71,-81.74,
Fort Pierce city,27.43,-80.34,
Fort Pierce North,27.47,-80.36,
Fort Pierce South,27.41,-80.35,
Fort Walton Beach city,30.42,-86.62,
Fort White town,29.92,-82.71,
Fountainebleau,25.77,-80.35,
Four Corners,28.33,-81.65,
Franklin Park,26.13,-80.18,
Freeport city,30.5,-86.14,
Frostproof city,27.75,-81.53,
Fruit Cove,30.1,-81.62,
Fruitland Park city,28.86,-81.92,
Fruitville,27.33,-82.46,
Fuller Heights,27.92,-82,
Fussels Corner,28.06,-81.86,
Gainesville city,29.68,-82.35,
Garcon Point,30.48,-87.09,
Garden Grove,28.47,-82.43,
Gardner,27.35,-81.79,
Gateway,26.58,-81.75,
Geneva,28.74,-81.11,
Gibsonton,27.83,-82.38,
Gifford,27.67,-80.41,
Gladeview,25.84,-80.24,
Glen Ridge town,26.67,-80.08,
Glen St. Mary town,30.28,-82.16,
Glencoe,29.01,-80.97,
Glenvar Heights,25.71,-80.32,
Golden Beach town,25.97,-80.12,
Golden Gate,26.18,-81.7,
Golden Glades,25.91,-80.2,
Goldenrod,28.61,-81.29,
Golf village,26.5,-80.11,
Gonzalez,30.58,-87.29,
Goodland,25.92,-81.65,
Gotha,28.53,-81.52,
Goulding,30.44,-87.23,
Goulds,25.56,-80.39,
Graceville city,30.96,-85.51,
Grand Ridge town,30.71,-85.02,
Grant-Valkaria town,27.93,-80.57,
Green Cove Springs city,29.99,-81.68,
Greenacres city,26.63,-80.14,
Greenbriar,28.01,-82.75,
Greensboro town,30.57,-84.74,
Greenville town,30.47,-83.64,
Greenwood town,30.87,-85.16,
Grenelefe,28.06,-81.55,
Gretna city,30.59,-84.68,
Grove City,26.91,-82.33,
Groveland city,28.6,-81.82,
Gulf Breeze city,30.37,-87.18,
Gulf Gate Estates,27.26,-82.51,
Gulf Stream town,26.49,-80.06,
Gulfport city,27.75,-82.71,
Gun Club Estates,26.68,-80.11,
Haines City city,28.11,-81.62,
Hallandale Beach city,25.99,-80.14,
Hampton city,29.86,-82.14,
Harbor Bluffs,27.91,-82.83,
Harbour Heights,26.99,-82.01,
Harlem,26.73,-80.95,
Harlem Heights,26.52,-81.93,
Harold,30.68,-86.83,
Hastings town,29.71,-81.51,
Havana town,30.63,-84.41,
Haverhill town,26.69,-80.12,
Hawthorne city,29.59,-82.08,
Heathrow,28.78,-81.37,
Heritage Pines,28.43,-82.63,
Hernando Beach,28.48,-82.66,
Hernando,28.95,-82.38,
Hialeah city,25.87,-80.3,
Hialeah Gardens city,25.89,-80.36,
High Point,28.55,-82.52,
High Springs city,29.81,-82.6,
Highland Beach town,26.41,-80.06,
Highland City,27.96,-81.88,
Highland Park village,27.86,-81.56,
Hill 'n Dale,28.52,-82.29,
Hillcrest Heights town,27.82,-81.53,
Hilliard town,30.69,-81.92,
Hillsboro Beach town,26.28,-80.08,
Hillsboro Pines,26.33,-80.2,
Hobe Sound,27.07,-80.14,
Holden Heights,28.5,-81.39,
Holiday,28.19,-82.74,
Holley,30.45,-86.9,
Holly Hill city,29.24,-81.05,
Hollywood city,26.03,-80.16,
Holmes Beach city,27.51,-82.72,
Homeland,27.82,-81.83,
Homestead Base,25.49,-80.39,
Homestead city,25.47,-80.45,
Homosassa,28.78,-82.61,
Homosassa Springs,28.81,-82.54,
Horizon West,28.44,-81.61,
Horseshoe Beach town,29.45,-83.28,
Hosford,30.39,-84.8,
Howey-in-the-Hills town,28.71,-81.78,
Hudson,28.36,-82.69,
Hunters Creek,28.36,-81.42,
Hutchinson Island South,27.33,-80.21,
Hypoluxo town,26.56,-80.05,
Immokalee,26.43,-81.43,
Indialantic town,28.09,-80.57,
Indian Creek village,25.88,-80.14,
Indian Harbour Beach city,28.15,-80.6,
Indian River Estates,27.36,-80.3,
Indian River Shores town,27.71,-80.39,
Indian Rocks Beach city,27.9,-82.84,
Indian Shores town,27.85,-82.85,
Indiantown,27.04,-80.47,
Inglis town,29.03,-82.66,
Interlachen town,29.62,-81.9,
Inverness city,28.84,-82.34,
Inverness Highlands North,28.86,-82.38,
Inverness Highlands South,28.8,-82.34,
Inwood,28.04,-81.77,
Iona,26.52,-81.96,
"Islamorada, Village of Islands village",24.94,-80.61,
Island Walk,26.25,-81.71,
Islandia city,25.43,-80.19,
Istachatta,28.66,-82.27,
Ives Estates,25.96,-80.18,
Jacksonville Beach city,30.28,-81.37,
Jacksonville city,30.34,-81.66,
Jacob City city,30.89,-85.41,
Jan Phyl Village,28.02,-81.79,
Jasmine Estates,28.29,-82.69,
Jasper city,30.51,-82.95,
Jay town,30.95,-87.15,
Jennings town,30.6,-83.11,
Jensen Beach,27.24,-80.24,
June Park,28.07,-80.69,
Juno Beach town,26.88,-80.06,
Juno Ridge,26.85,-80.06,
Jupiter Farms,26.92,-80.22,
Jupiter Inlet Colony town,26.95,-80.08,
Jupiter Island town,27.04,-80.11,
Jupiter town,26.92,-80.11,
Kathleen,28.12,-82.04,
Kendale Lakes,25.71,-80.41,
Kendall,25.67,-80.36,
Kendall West,25.71,-80.44,
Kenneth City town,27.82,-82.72,
Kensington Park,27.36,-82.49,
Kenwood Estates,26.63,-80.11,
Key Biscayne village,25.69,-80.17,
Key Colony Beach city,24.72,-81.02,
Key Largo,25.12,-80.41,
Key Vista,28.19,-82.77,
Key West city,24.56,-81.78,
Keystone,28.13,-82.6,
Keystone Heights city,29.78,-82.03,
Kissimmee city,28.3,-81.42,
La Crosse town,29.84,-82.38,
LaBelle city,26.72,-81.45,
Lacoochee,28.47,-82.17,
Lady Lake town,28.92,-81.93,
Laguna Beach,30.26,-85.95,
Lake Alfred city,28.1,-81.73,
Lake Belvedere Estates,26.69,-80.14,
Lake Buena Vista city,28.38,-81.53,
Lake Butler,28.49,-81.54,
Lake Butler city,30.02,-82.34,
Lake City city,30.19,-82.65,
Lake Clarke Shores town,26.65,-80.08,
Lake Hamilton town,28.05,-81.63,
Lake Harbor,26.69,-80.81,
Lake Hart,28.39,-81.23,
Lake Helen city,28.98,-81.23,
Lake Kathryn,29.01,-81.49,
Lake Lindsey,28.63,-82.36,
Lake Lorraine,30.44,-86.57,
Lake Mack-Forest Hills,29,-81.42,
Lake Magdalene,28.09,-82.48,
Lake Mary city,28.76,-81.34,
Lake Mary Jane,28.39,-81.17,
Lake Mystic,30.39,-84.99,
Lake Panasoffkee,28.79,-82.13,
Lake Park town,26.8,-80.07,
Lake Placid town,27.3,-81.37,
Lake Sarasota,27.29,-82.44,
Lake Wales city,27.92,-81.6,
Lake Worth city,26.62,-80.06,
Lakeland city,28.06,-81.95,
Lakeland Highlands,27.96,-81.95,
Lakeside,30.14,-81.77,
Lakewood Gardens,26.62,-80.1,
Lakewood Park,27.54,-80.39,
Lamont,30.38,-83.81,
Land O' Lakes,28.21,-82.45,
Lantana town,26.58,-80.06,
Largo city,27.91,-82.77,
Lauderdale Lakes city,26.17,-80.2,
Lauderdale-by-the-Sea town,26.2,-80.09,
Lauderhill city,26.16,-80.22,
Laurel,27.14,-82.46,
Laurel Hill city,30.96,-86.46,
Lawtey city,30.05,-82.07,
Layton city,24.82,-80.81,
Lazy Lake village,26.16,-80.15,
Lealman,27.82,-82.68,
Lecanto,28.84,-82.49,
Lee town,30.41,-83.3,
Leesburg city,28.77,-81.9,
Lehigh Acres,26.61,-81.64,
Leisure City,25.49,-80.44,
Lely,26.1,-81.73,
Lely Resort,26.09,-81.7,
Lemon Grove,27.58,-81.64,
Lighthouse Point city,26.28,-80.09,
Limestone,27.37,-81.9,
Limestone Creek,26.94,-80.14,
Lisbon,28.88,-81.78,
Live Oak city,30.3,-82.98,
Lloyd,30.48,-84.02,
Lochmoor Waterway Estates,26.64,-81.91,
Lockhart,28.63,-81.44,
Longboat Key town,27.39,-82.64,
Longwood city,28.7,-81.35,
Loughman,28.24,-81.57,
Lower Grand Lagoon,30.14,-85.75,
Loxahatchee Groves town,26.71,-80.28,
Lutz,28.14,-82.45,
Lynn Haven city,30.24,85.64,
Macclenny city,30.28,-82.12,
Madeira Beach city,27.8,-82.79,
Madison city,30.47,-83.42,
Maitland city,28.63,-81.37,
Malabar town,27.99,-80.58,
Malone town,30.96,-85.16,
Manalapan town,26.56,-80.01,
Manasota Key,26.92,-82.35,
Manatee Road,29.51,-82.92,
Mango,27.99,-82.31,
Mangonia Park town,26.76,-80.08,
Marathon city,24.73,-81.04,
Marco Island city,25.93,-81.7,
Margate city,26.25,-80.21,
Marianna city,30.78,-85.24,
Marineland town,29.66,-81.21,
Mary Esther city,30.41,-86.66,
Masaryktown,28.44,-82.46,
Mascotte city,28.61,-81.91,
Matlacha,26.63,-82.07,
Matlacha Isles-Matlacha Shores,26.63,-82.06,
Mayo town,30.05,-83.18,
McGregor,26.56,-81.91,
McIntosh town,29.45,-82.22,
Meadow Oaks,28.35,-82.6,
Meadow Woods,28.37,-81.35,
Medley town,25.86,-80.35,
Medulla,27.96,-81.99,
Melbourne Beach town,28.07,-80.56,
Melbourne city,28.12,-80.65,
Melbourne Village town,28.09,-80.67,
Memphis,27.54,-82.56,
Merritt Island,28.31,-80.67,
Mexico Beach city,29.95,-85.41,
Miami Beach city,25.82,-80.14,
Miami city,25.78,-80.21,
Miami Gardens city,25.94,-80.24,
Miami Lakes town,25.91,-80.32,
Miami Shores village,25.87,-80.18,
Miami Springs city,25.82,-80.29,
Micanopy town,29.51,-82.28,
Micco,27.87,-80.51,
Middleburg,30.05,-81.9,
Midway,30.41,-87.03,
Midway,28.79,-81.23,
Midway city,30.5,-84.46,
Milton city,30.63,-87.05,
Mims,28.69,-80.85,
Minneola city,28.61,-81.73,
Miramar Beach,30.39,-86.34,
Miramar city,25.98,-80.34,
Molino,30.71,-87.32,
Monticello city,30.54,-83.87,
Montura,26.64,-81.09,
Montverde town,28.6,-81.68,
Moon Lake,28.3,-82.6,
Moore Haven city,26.83,-81.1,
Morriston,29.28,-82.44,
Mount Carmel,30.99,-87.12,
Mount Dora city,28.81,-81.63,
Mount Plymouth,28.8,-81.54,
Mulat,30.56,-87.13,
Mulberry city,27.9,-81.99,
Munson,30.84,-86.89,
Myrtle Grove,30.42,-87.3,
Naples city,26.15,-81.79,
Naples Manor,26.09,-81.73,
Naples Park,26.26,-81.81,
Naranja,25.52,-80.42,
Nassau Village-Ratliff,30.51,-81.81,
Navarre Beach,30.38,-86.89,
Navarre,30.42,-86.89,
Neptune Beach city,30.32,-81.38,
New Port Richey city,28.25,-82.72,
New Port Richey East,28.26,-82.69,
New Smyrna Beach city,29.02,-80.96,
Newberry city,29.63,-82.6,
Niceville city,30.53,-86.48,
Nobleton,28.65,-82.26,
Nocatee,30.09,-81.41,
Nokomis,27.12,-82.44,
Noma town,30.98,-85.62,
North Bay Village city,25.85,-80.15,
North Brooksville,28.57,-82.37,
North DeLand,29.05,-81.3,
North Fort Myers,26.72,-81.85,
North Key Largo,25.26,-80.32,
North Lauderdale city,26.21,-80.22,
North Miami Beach city,25.93,-80.17,
North Miami city,25.9,-80.17,
North Palm Beach village,26.82,-80.06,
North Port city,27.06,-82.2,
North Redington Beach town,27.82,-82.82,
North River Shores,27.22,-80.27,
North Sarasota,27.37,-82.52,
North Weeki Wachee,28.56,-82.55,
Northdale,28.11,-82.53,
Oak Hill city,28.88,-80.83,
Oak Ridge,28.47,-81.42,
Oakland Park city,26.18,-80.15,
Oakland town,28.55,-81.63,
Oakleaf Plantation,30.17,-81.83,
Ocala city,29.18,-82.15,
Ocean Breeze Park town,27.24,-80.23,
Ocean City,30.44,-86.61,
Ocean Ridge town,26.53,-80.05,
Ocoee city,28.58,-81.53,
Odessa,28.18,-82.55,
Ojus,25.96,-80.16,
Okahumpka,28.75,-81.9,
Okeechobee city,27.24,-80.83,
Oldsmar city,28.05,-82.67,
Olga,26.71,-81.7,
Olympia Heights,25.72,-80.34,
Ona,27.48,-81.91,
Opa-locka city,25.9,-80.26,
Orange City city,28.93,-81.29,
Orange Park town,30.17,-81.7,
Orangetree,26.29,-81.58,
Orchid town,27.77,-80.42,
Oriole Beach,30.37,-87.1,
Orlando city,28.48,-81.35,
Orlovista,28.54,-81.46,
Ormond Beach city,29.3,-81.09,
Ormond-by-the-Sea,29.34,-81.07,
Osprey,27.19,-82.48,
Otter Creek town,29.32,-82.77,
Oviedo city,28.66,-81.19,
Pace,30.62,-87.17,
Page Park,26.58,-81.86,
Pahokee city,26.82,-80.66,
Paisley,28.99,-81.54,
Palatka city,29.65,-81.66,
Palm Bay city,27.99,-80.66,
Palm Beach Gardens city,26.85,-80.17,
Palm Beach Shores town,26.78,-80.03,
Palm Beach town,26.69,-80.04,
Palm City,27.17,-80.29,
Palm Coast city,29.54,-81.25,
Palm Harbor,28.09,-82.76,
Palm River-Clair Mel,27.92,-82.38,
Palm Shores town,28.19,-80.66,
Palm Springs North,25.94,-80.33,
Palm Springs village,26.64,-80.1,
Palm Valley,30.2,-81.39,
Palmetto Bay village,25.62,-80.32,
Palmetto city,27.52,-82.57,
Palmetto Estates,25.62,-80.36,
Palmona Park,26.69,-81.89,
Panacea,30.03,-84.39,
Panama City Beach city,30.24,-85.88,
Panama City city,30.2,-85.62,
Paradise Heights,28.62,-81.54,
Parker city,30.13,-85.6,
Parkland city,26.32,-80.25,
Pasadena Hills,28.29,-82.24,
Patrick AFB,28.23,-80.61,
Paxton town,30.98,-86.31,
Pea Ridge,30.6,-87.1,
Pebble Creek,28.16,-82.34,
Pelican Bay,26.23,-81.81,
Pembroke Park town,25.99,-80.18,
Pembroke Pines city,26.01,-80.34,
Penney Farms town,29.98,-81.81,
Pensacola city,30.44,-87.19,
Perry city,30.11,-83.58,
Pierson town,29.24,-81.46,
Pine Air,26.66,-80.11,
Pine Castle,28.47,-81.37,
Pine Hills,28.58,-81.47,
Pine Island,28.57,-82.65,
Pine Island Center,26.64,-82.13,
Pine Lakes,28.94,-81.43,
Pine Level,30.89,-87.17,
Pine Manor,26.57,-81.88,
Pine Ridge,28.93,-82.48,
Pine Ridge,26.23,-81.8,
Pinecrest village,25.66,-80.3,
Pineland,26.66,-82.15,
Pinellas Park city,27.86,-82.71,
Pinewood,25.87,-80.22,
Pioneer,26.73,-81.22,
Pittman,29,-81.65,
Plant City city,28.01,-82.12,
Plantation,27.06,-82.37,
Plantation city,26.13,-80.26,
Plantation Island,25.85,-81.38,
Plantation Mobile Home Park,26.7,-80.13,
Poinciana,28.12,-81.48,
Point Baker,30.68,-87.05,
Polk City town,28.17,-81.84,
Pomona Park town,29.5,-81.59,
Pompano Beach city,26.24,-80.13,
Ponce de Leon town,30.72,-85.94,
Ponce Inlet town,29.1,-80.93,
Port Charlotte,26.99,-82.11,
Port LaBelle,26.75,-81.39,
Port Orange city,29.11,-81.01,
Port Richey city,28.28,-82.73,
Port Salerno,27.15,-80.19,
Port St. Joe city,29.82,-85.31,
Port St. John,28.48,-80.79,
Port St. Lucie city,27.28,-80.38,
Pretty Bayou,30.2,-85.7,
Princeton,25.54,-80.4,
Progress Village,27.88,-82.36,
Punta Gorda city,26.9,-82.05,
Punta Rassa,26.5,-82,
Quail Ridge,28.35,-82.55,
Quincy city,30.58,-84.58,
Raiford town,30.06,-82.24,
Raleigh,29.45,-82.47,
Reddick town,29.37,-82.2,
Redington Beach town,27.81,-82.81,
Redington Shores town,27.83,-82.83,
Richmond Heights,25.63,-80.37,
Richmond West,25.61,-80.43,
Ridge Manor,28.5,-82.18,
Ridge Wood Heights,27.29,-82.51,
Ridgecrest,27.9,-82.81,
Rio,27.22,-80.24,
Rio Pinar,28.53,-81.26,
River Park,27.32,-80.33,
River Ridge,28.27,-82.62,
Riverview,27.82,-82.3,
Riviera Beach city,26.78,-80.07,
Rockledge city,28.32,-80.73,
Roeville,30.68,-86.99,
Roosevelt Gardens,26.14,-80.18,
Roseland,27.84,-80.49,
Rotonda,26.88,-82.28,
Royal Palm Beach village,26.7,-80.22,
Royal Palm Estates,26.68,-80.13,
Ruskin,27.71,-82.42,
Safety Harbor city,28.01,-82.7,
Samoset,27.48,-82.54,
Samsula-Spruce Creek,29.05,-81.06,
San Antonio city,28.34,-82.28,
San Carlos Park,26.48,-81.82,
San Castle,26.57,-80.06,
Sanford city,28.79,-81.28,
Sanibel city,26.45,-82.1,
Sarasota city,27.34,-82.55,
Sarasota Springs,27.31,-82.48,
Satellite Beach city,28.18,-80.6,
Sawgrass,30.19,-81.37,
Schall Circle,26.72,-80.11,
Sea Ranch Lakes village,26.2,-80.1,
Sebastian city,27.79,-80.48,
Sebring city,27.48,-81.45,
Seffner,28,-82.27,
Seminole city,27.84,-82.78,
Seminole Manor,26.58,-80.1,
Seville,29.34,-81.51,
Sewall's Point town,27.2,-80.2,
Shady Hills,28.4,-82.55,
Shalimar town,30.44,-86.58,
Sharpes,28.44,-80.76,
Siesta Key,27.28,-82.55,
Silver Lake,28.84,-81.8,
Silver Springs Shores,29.1,-82,
Sky Lake,28.46,-81.39,
Sneads town,30.71,-84.92,
Solana,26.94,-82.03,
Sopchoppy city,30.06,-84.49,
Sorrento,28.81,-81.56,
South Apopka,28.66,-81.5,
South Bay city,26.68,-80.73,
South Beach,27.59,-80.34,
South Bradenton,27.46,-82.58,
South Brooksville,28.52,-82.42,
South Daytona city,29.17,-81.01,
South Gate Ridge,27.29,-82.5,
South Highpoint,27.91,-82.72,
South Miami city,25.71,-80.3,
South Miami Heights,25.59,-80.39,
South Palm Beach town,26.59,-80.04,
South Pasadena city,27.75,-82.74,
South Patrick Shores,28.2,-80.61,
South Sarasota,27.29,-82.53,
South Venice,27.04,-82.42,
Southchase,28.38,-81.39,
Southeast Arcadia,27.19,-81.85,
Southgate,27.31,-82.51,
Southwest Ranches town,26.05,-80.38,
Spring Hill,28.48,-82.53,
Spring Lake,28.5,-82.3,
Spring Ridge,29.82,-82.72,
Springfield city,30.17,-85.61,
Springhill,30.76,-86.93,
St. Augustine Beach city,29.84,-81.27,
St. Augustine city,29.9,-81.31,
St. Augustine Shores,29.8,-81.31,
St. Augustine South,29.84,-81.32,
St. Cloud city,28.23,-81.29,
St. James City,26.55,-82.1,
St. Leo town,28.34,-82.26,
St. Lucie Village town,27.5,-80.34,
St. Marks city,30.17,-84.21,
St. Pete Beach city,27.71,-82.76,
St. Petersburg city,27.76,-82.64,
Stacey Street,26.7,-80.12,
Starke city,29.95,-82.11,
Steinhatchee,29.68,-83.38,
Stock Island,24.57,-81.73,
Stuart city,27.2,-80.24,
Sugarmill Woods,28.73,-82.5,
Sumatra,30.02,-84.98,
Sun City Center,27.71,-82.36,
Suncoast Estates,26.71,-81.87,
Sunny Isles Beach city,25.94,-80.12,
Sunrise city,26.15,-80.3,
Sunset,25.71,-80.35,
Surfside town,25.88,-80.12,
Sweetwater city,25.77,-80.37,
Taft,28.43,-81.37,
Tallahassee city,30.45,-84.25,
Tamarac city,26.21,-80.25,
Tamiami,25.76,-80.4,
Tampa city,27.97,-82.48,
Tangelo Park,28.46,-81.45,
Tangerine,28.76,-81.63,
Tarpon Springs city,28.15,-82.78,
Tavares city,28.8,-81.74,
Tavernier,25.02,-80.51,
Taylor Creek,27.22,-80.79,
Temple Terrace city,28.04,-82.38,
Tequesta village,26.96,-80.1,
The Acreage,26.77,-80.28,
The Crossings,25.67,-80.4,
The Hammocks,25.67,-80.45,
The Meadows,27.37,-82.47,
The Villages,28.9,-81.99,
Thonotosassa,28.05,-82.29,
Three Lakes,25.64,-80.4,
Three Oaks,26.47,-81.8,
Tice,26.68,-81.82,
